text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @prasitchai_k: '    

""   ",FALSE,0,NA,2020-04-30T04:06:33Z,FALSE,NA,1255710103887478784,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BBmkkkk,3887,TRUE,FALSE,NA,NA
"RT @LambaAlka: This is the real kind of discussion which India needs at this hour.. .

#Covid_19 #lockdown 

#RaghuramRajan #RahulGandhi",FALSE,0,NA,2020-04-30T04:06:33Z,FALSE,NA,1255710103040225280,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sallamansari167,50,TRUE,FALSE,NA,NA
"RT @avinashkalla: #COVID_19 update #Rajasthan

86 cases reported at 9am 

#Jodhpur 59
#Jaipur 14
#Ajmer 4
#Chittorgarh 3
#Tonk 2
#Kota 2
#D",FALSE,0,NA,2020-04-30T04:06:29Z,FALSE,NA,1255710088611987458,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MohitChandak13,4,TRUE,FALSE,NA,NA
"RT @Reforma: En Gmez Palacio, Durango, se orden barrer las calles a quienes no obedezcan las medidas para evitar contagios por #Covid_19",FALSE,0,NA,2020-04-30T04:06:29Z,FALSE,NA,1255710087001313286,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnaGmez56349792,105,TRUE,FALSE,NA,NA
"RT @shunlcr: Ce sont les ennemis de la France qui polmiquent pendant cette pandmie #Covid_19 
La #majoritesilencieuse n'oubliera pas ceux",FALSE,0,NA,2020-04-30T04:06:28Z,FALSE,NA,1255710084774211584,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",me_thuong_ngan,20,TRUE,FALSE,NA,NA
RT @Nedum92997045: China is starting a fight they won't end. I strongly condemn every form of brutality and racism against Africans in #Chi,FALSE,0,NA,2020-04-30T04:06:28Z,FALSE,NA,1255710083926941696,NA,"<a href=""http://www.theawkwardrepublican.com"" rel=""nofollow"">Republican Tweets</a>",TheAwkwardGOP,318,TRUE,FALSE,NA,NA
River View Protect &amp; Cleaning     https://t.co/RKM0j6nVDk,FALSE,0,NA,2020-04-30T04:06:27Z,TRUE,NA,1255710079547916289,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RPC_Protect,0,FALSE,FALSE,NA,NA
"RT @Reforma: La Marcha del Orgullo LGBT+ se realizar de manera virtual, el sbado 27 de junio, por la emergencia sanitaria de #Covid_19.",FALSE,0,NA,2020-04-30T04:06:26Z,FALSE,NA,1255710073051021314,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fuchsia_FLOWERS,81,TRUE,FALSE,NA,NA
"RT @CNBC_Awaaz: #Breaking |    , ,       
-      ",FALSE,0,NA,2020-04-30T04:06:25Z,FALSE,NA,1255710072174510080,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Gurmeet_khalsa1,24,TRUE,FALSE,NA,NA
"Eet meer vis van bij ons, zo steun je ook mensen van bij ons #Covid_19
""Als de visprijzen nog 5 procent dalen, dan https://t.co/KvrcrkRPYS",FALSE,0,NA,2020-04-30T04:06:25Z,TRUE,NA,1255710071952211969,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LuyckxJoeri,0,FALSE,FALSE,NA,NA
"RT @Muni_Concepcion: (1) 

[COMPARTIR]

Considerando que en #Concepcin el llamado es a NO salir a la calle para evitar el contagio del #C",FALSE,0,NA,2020-04-30T04:06:25Z,FALSE,NA,1255710069171408902,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",camiladan,6,TRUE,FALSE,NA,NA
RT @jaarreaza: 1/3 Mientras que ayer en el Consejo de Seguridad (ONU) los Estados Independientes defendieron nuestra soberana al reconocer,FALSE,0,NA,2020-04-30T04:06:24Z,FALSE,NA,1255710067300732934,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",cjoa2009,1511,TRUE,FALSE,NA,NA
RT @Arquiman2: @ANIABELLO_R El Samperismo ha sido un virus ms hpta que el #Covid_19 para Colombia y ah siguen en la mdula del establecim,FALSE,0,NA,2020-04-30T04:06:23Z,FALSE,NA,1255710060858224641,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fulibby,9,TRUE,FALSE,NA,NA
RT @AdvAshwaniDubey: Nehru Hospitol #Singrauli run by @NCL_SINGRAULI is lifeline of more than 20Lakh people. Doctors/health workers working,FALSE,0,NA,2020-04-30T04:06:21Z,FALSE,NA,1255710054893981699,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rncist82,11,TRUE,FALSE,NA,NA
"RT @LambaAlka: This is the real kind of discussion which India needs at this hour.. .

#Covid_19 #lockdown 

#RaghuramRajan #RahulGandhi",FALSE,0,NA,2020-04-30T04:06:21Z,FALSE,NA,1255710054399033349,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Raj178Vikash,44,TRUE,FALSE,NA,NA
"RT @Yorry_Warthon: Sindicato Nacional Mdico de @EsSaludPeru (#SINAMSSOP) acord exigir la salida de la Pdt. ejecutiva de #EsSalud, #Fiorel",FALSE,0,NA,2020-04-30T04:06:20Z,FALSE,NA,1255710051475619847,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Marisab14053795,87,TRUE,FALSE,NA,NA
